# Vulnerable Binaries - Missing or Non-Existent Weak Dylibs
# Format: binary_path|dylib_path|vulnerability_type

/Applications/1Password.app/Contents/XPCServices/OP Updater Service.xpc/Contents/Helpers/1Password Updater.app/Contents/MacOS/1Password Updater|/usr/lib/swift/libswiftXPC.dylib|MISSING_WEAK_DYLIB
/Applications/1Password.app/Contents/XPCServices/OP Updater Service.xpc/Contents/Helpers/1Password Updater.app/Contents/MacOS/1Password Updater|/usr/lib/swift/libswiftos.dylib|MISSING_WEAK_DYLIB
/Applications/1Password.app/Contents/XPCServices/OP Updater Service.xpc/Contents/MacOS/OP Updater Service|/usr/lib/swift/libswiftCoreFoundation.dylib|MISSING_WEAK_DYLIB
/Applications/1Password.app/Contents/XPCServices/OP Updater Service.xpc/Contents/MacOS/OP Updater Service|/usr/lib/swift/libswiftCoreImage.dylib|MISSING_WEAK_DYLIB
/Applications/1Password.app/Contents/XPCServices/OP Updater Service.xpc/Contents/MacOS/OP Updater Service|/usr/lib/swift/libswiftDarwin.dylib|MISSING_WEAK_DYLIB
/Applications/1Password.app/Contents/XPCServices/OP Updater Service.xpc/Contents/MacOS/OP Updater Service|/usr/lib/swift/libswiftIOKit.dylib|MISSING_WEAK_DYLIB
/Applications/1Password.app/Contents/XPCServices/OP Updater Service.xpc/Contents/MacOS/OP Updater Service|/usr/lib/swift/libswiftMetal.dylib|MISSING_WEAK_DYLIB
/Applications/1Password.app/Contents/XPCServices/OP Updater Service.xpc/Contents/MacOS/OP Updater Service|/usr/lib/swift/libswiftOSLog.dylib|MISSING_WEAK_DYLIB
/Applications/1Password.app/Contents/XPCServices/OP Updater Service.xpc/Contents/MacOS/OP Updater Service|/usr/lib/swift/libswiftObjectiveC.dylib|MISSING_WEAK_DYLIB
/Applications/1Password.app/Contents/XPCServices/OP Updater Service.xpc/Contents/MacOS/OP Updater Service|/usr/lib/swift/libswiftQuartzCore.dylib|MISSING_WEAK_DYLIB
/Applications/1Password.app/Contents/XPCServices/OP Updater Service.xpc/Contents/MacOS/OP Updater Service|/usr/lib/swift/libswiftUniformTypeIdentifiers.dylib|MISSING_WEAK_DYLIB
/Applications/1Password.app/Contents/XPCServices/OP Updater Service.xpc/Contents/MacOS/OP Updater Service|/usr/lib/swift/libswiftXPC.dylib|MISSING_WEAK_DYLIB
/Applications/1Password.app/Contents/XPCServices/OP Updater Service.xpc/Contents/MacOS/OP Updater Service|/usr/lib/swift/libswiftos.dylib|MISSING_WEAK_DYLIB
/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/135.1.77.101/Libraries/libGLESv2.dylib|/System/Library/Frameworks/Metal.framework/Versions/A/Metal|MISSING_WEAK_DYLIB
/Applications/Brave Browser.app/Contents/Frameworks/Brave Browser Framework.framework/Versions/135.1.77.101/Libraries/libvk_swiftshader.dylib|/System/Library/Frameworks/Metal.framework/Versions/A/Metal|MISSING_WEAK_DYLIB
/Applications/Burp Suite Community Edition.app/Contents/Resources/app/burpbrowser/131.0.6778.140/Chromium.app/Contents/Frameworks/Chromium Framework.framework/Versions/131.0.6778.140/Libraries/libGLESv2.dylib|/System/Library/Frameworks/Metal.framework/Versions/A/Metal|MISSING_WEAK_DYLIB
/Applications/Burp Suite Community Edition.app/Contents/Resources/app/burpbrowser/131.0.6778.140/Chromium.app/Contents/Frameworks/Chromium Framework.framework/Versions/131.0.6778.140/Libraries/libvk_swiftshader.dylib|/System/Library/Frameworks/Metal.framework/Versions/A/Metal|MISSING_WEAK_DYLIB
/Applications/Chatbox.app/Contents/Frameworks/Electron Framework.framework/Versions/A/Libraries/libGLESv2.dylib|/System/Library/Frameworks/Metal.framework/Versions/A/Metal|MISSING_WEAK_DYLIB
/Applications/Chatbox.app/Contents/Frameworks/Electron Framework.framework/Versions/A/Libraries/libvk_swiftshader.dylib|/System/Library/Frameworks/Metal.framework/Versions/A/Metal|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/Frameworks/Sparkle.framework/Versions/B/Updater.app/Contents/MacOS/Updater|/System/Library/Frameworks/UniformTypeIdentifiers.framework/Versions/A/UniformTypeIdentifiers|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/Frameworks/Sparkle.framework/Versions/B/Updater.app/Contents/MacOS/Updater|/System/Library/Frameworks/UniformTypeIdentifiers.framework/Versions/A/UniformTypeIdentifiers|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/Frameworks/Sparkle.framework/Versions/B/XPCServices/Installer.xpc/Contents/MacOS/Installer|/System/Library/Frameworks/UniformTypeIdentifiers.framework/Versions/A/UniformTypeIdentifiers|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/Frameworks/Sparkle.framework/Versions/B/XPCServices/Installer.xpc/Contents/MacOS/Installer|/System/Library/Frameworks/UniformTypeIdentifiers.framework/Versions/A/UniformTypeIdentifiers|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftAVFoundation.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftAccelerate.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftCompression.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftCoreAudio.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftCoreFoundation.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftCoreImage.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftCoreLocation.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftCoreMIDI.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftCoreMedia.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftDarwin.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftDataDetection.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftIOKit.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftMapKit.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftMetal.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftMetalKit.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftMetricKit.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftModelIO.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftNaturalLanguage.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftOSLog.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftObjectiveC.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftQuartzCore.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftQuickLookUI.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftSpatial.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftUniformTypeIdentifiers.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftXPC.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftos.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/MacOS/ChatGPT|/usr/lib/swift/libswiftsimd.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftAVFoundation.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftAccelerate.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftCompression.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftCoreAudio.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftCoreFoundation.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftCoreImage.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftCoreLocation.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftCoreMIDI.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftCoreMedia.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftDarwin.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftDataDetection.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftIOKit.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftIntents.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftMapKit.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftMetal.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftMetalKit.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftMetricKit.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftModelIO.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftNaturalLanguage.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftOSLog.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftObjectiveC.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftQuartzCore.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftQuickLookUI.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftSpatial.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftUniformTypeIdentifiers.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftXPC.dylib|MISSING_WEAK_DYLIB
/Applications/ChatGPT.app/Contents/PlugIns/Widgets.appex/Contents/MacOS/Widgets|/usr/lib/swift/libswiftsimd.dylib|MISSING_WEAK_DYLIB
/Applications/Claude.app/Contents/Frameworks/Electron Framework.framework/Versions/A/Libraries/libGLESv2.dylib|/System/Library/Frameworks/Metal.framework/Versions/A/Metal|MISSING_WEAK_DYLIB
